date,price
2017/1/2,1
2017/1/3,-1
2017/1/4,-1
2017/1/5,1
2017/1/6,1
2017/1/7,1
2017/1/8,-1
2017/1/9,-1
2017/1/10,-1
2017/1/11,1
2017/1/12,-1
2017/1/13,-1
2017/1/14,-1
2017/1/15,-1
2017/1/16,1
2017/1/17,1
2017/1/18,-1
2017/1/19,1
2017/1/20,1
2017/1/21,1
2017/1/22,-1
2017/1/23,-1
2017/1/24,-1
2017/1/25,1
2017/1/26,1
2017/1/27,1
2017/1/28,1
2017/1/29,1
2017/1/30,-1
2017/1/31,1
2017/2/1,-1
2017/2/2,1
2017/2/3,1
2017/2/4,1
2017/2/5,-1
2017/2/6,1
2017/2/7,-1
2017/2/8,-1
2017/2/9,1
2017/2/10,1
2017/2/11,1
2017/2/12,-1
2017/2/13,1
2017/2/14,-1
2017/2/15,1
2017/2/16,-1
2017/2/17,-1
2017/2/18,-1
2017/2/19,-1
2017/2/20,-1
2017/2/21,-1
2017/2/22,1
2017/2/23,-1
2017/2/24,-1
2017/2/25,-1
2017/2/26,-1
2017/2/27,-1
2017/2/28,-1
2017/3/1,1
2017/3/2,-1
2017/3/3,-1
2017/3/4,-1
2017/3/5,-1
2017/3/6,-1
2017/3/7,-1
2017/3/8,-1
2017/3/9,1
2017/3/10,1
2017/3/11,1
2017/3/12,-1
2017/3/13,1
2017/3/14,1
2017/3/15,-1
2017/3/16,1
2017/3/17,1
2017/3/18,1
2017/3/19,-1
2017/3/20,1
2017/3/21,-1
2017/3/22,-1
2017/3/23,1
2017/3/24,1
2017/3/25,1
2017/3/26,-1
2017/3/27,-1
2017/3/28,-1
2017/3/29,1
2017/3/30,1
2017/3/31,1
2017/4/1,1
2017/4/2,1
2017/4/3,1
2017/4/4,1
2017/4/5,1
2017/4/6,-1
2017/4/7,-1
2017/4/8,-1
2017/4/9,-1
2017/4/10,1